Erstfeld_S_Goeschenen,,,,,,
Datum,Fahrzeuge pro 3Min,Durchschnittsgeschwindigkeit,Fahrzeuge pro 3Min Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Fahrzeuge pro 3Min Vergleichstage Fr 1.8.2014 - Sa 2.8.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 1.8.2014 - Sa 2.8.2014</title>
2014-07-18 07:42-07:45,51,106,53,107,51,115
2014-07-18 07:45-07:48,61,113,60,111,43,116
2014-07-18 07:48-07:51,63,109,50,112,58,114
2014-07-18 07:51-07:54,55,108,50,111,61,113
2014-07-18 07:54-07:57,44,110,70,111,57,113
2014-07-18 07:57-08:00,61,110,62,109,82,109
2014-07-18 08:00-08:03,44,104,51,103,63,115
2014-07-18 08:03-08:06,74,104,50,113,52,115
2014-07-18 08:06-08:09,51,110,35,114,56,112
2014-07-18 08:09-08:12,66,110,33,110,72,113
2014-07-18 08:12-08:15,50,113,55,108,60,112
2014-07-18 08:15-08:18,42,110,53,103,66,112
2014-07-18 08:18-08:21,53,111,42,112,58,115
2014-07-18 08:21-08:24,58,111,48,109,68,112
2014-07-18 08:24-08:27,64,106,57,112,59,113
2014-07-18 08:27-08:30,69,106,57,110,45,110
2014-07-18 08:30-08:33,57,110,61,110,44,111
2014-07-18 08:33-08:36,56,110,47,112,57,112
2014-07-18 08:36-08:39,67,112,65,110,62,117
2014-07-18 08:39-08:42,70,106,42,110,72,113
2014-07-18 08:42-08:45,55,111,37,107,69,113
2014-07-18 08:45-08:48,71,107,56,112,76,110
2014-07-18 08:48-08:51,48,108,57,113,80,110
2014-07-18 08:51-08:54,83,101,64,110,61,114
2014-07-18 08:54-08:57,65,108,65,109,76,112
2014-07-18 08:57-09:00,69,104,61,105,65,114
2014-07-18 09:00-09:03,52,108,56,110,51,105
2014-07-18 09:03-09:06,59,110,49,112,81,110
2014-07-18 09:06-09:09,74,110,59,111,90,111
2014-07-18 09:09-09:12,63,112,53,111,67,114
2014-07-18 09:12-09:15,74,114,64,108,74,113
2014-07-18 09:15-09:18,68,108,47,114,52,118
2014-07-18 09:18-09:21,59,112,58,108,85,113
2014-07-18 09:21-09:24,68,109,73,109,65,113
2014-07-18 09:24-09:27,56,113,76,109,73,119
2014-07-18 09:27-09:30,74,106,69,111,76,115
2014-07-18 09:30-09:33,70,108,71,106,75,114
2014-07-18 09:33-09:36,86,111,61,111,59,115
2014-07-18 09:36-09:39,73,107,74,106,73,113
2014-07-18 09:39-09:42,57,109,67,112,70,109
2014-07-18 09:42-09:45,70,111,62,108,76,113
2014-07-18 09:45-09:48,48,107,72,111,73,112
2014-07-18 09:48-09:51,55,109,51,112,67,112
2014-07-18 09:51-09:54,78,106,84,107,63,111
2014-07-18 09:54-09:57,44,106,76,107,79,112
2014-07-18 09:57-10:00,59,111,57,112,58,113
2014-07-18 10:00-10:03,61,110,69,108,88,112
2014-07-18 10:03-10:06,68,111,77,110,60,111
2014-07-18 10:06-10:09,82,110,73,107,71,112
2014-07-18 10:09-10:12,83,105,59,110,55,115
2014-07-18 10:12-10:15,71,113,69,107,68,114
2014-07-18 10:15-10:18,67,108,63,113,58,110
2014-07-18 10:18-10:21,81,109,76,112,72,113
2014-07-18 10:21-10:24,78,111,67,110,50,115
2014-07-18 10:24-10:27,77,109,73,108,71,116
2014-07-18 10:27-10:30,91,109,72,112,60,118
2014-07-18 10:30-10:33,73,110,52,106,95,113
2014-07-18 10:33-10:36,60,110,86,103,71,110
2014-07-18 10:36-10:39,61,112,76,107,98,108
2014-07-18 10:39-10:42,98,109,59,107,69,109
2014-07-18 10:42-10:45,86,108,62,109,88,105
2014-07-18 10:45-10:48,79,105,79,108,79,112
2014-07-18 10:48-10:51,80,111,63,112,88,110
2014-07-18 10:51-10:54,76,110,94,105,102,109
2014-07-18 10:54-10:57,83,108,74,109,88,111
2014-07-18 10:57-11:00,75,105,56,110,76,111
2014-07-18 11:00-11:03,56,108,95,105,109,107
2014-07-18 11:03-11:06,96,108,106,104,83,112
2014-07-18 11:06-11:09,55,112,64,114,91,113
2014-07-18 11:09-11:12,81,104,79,111,82,111
2014-07-18 11:12-11:15,59,110,88,109,98,110
2014-07-18 11:15-11:18,85,111,64,110,76,105
2014-07-18 11:18-11:21,76,106,92,107,75,108
2014-07-18 11:21-11:24,68,113,70,109,94,112
2014-07-18 11:24-11:27,58,108,91,109,94,111
2014-07-18 11:27-11:30,76,108,86,107,78,109
2014-07-18 11:30-11:33,81,105,74,107,96,111
2014-07-18 11:33-11:36,68,106,93,105,74,113
2014-07-18 11:36-11:39,52,108,90,104,90,108
2014-07-18 11:39-11:42,70,106,98,110,69,111
2014-07-18 11:42-11:45,87,107,96,110,73,106
2014-07-18 11:45-11:48,68,110,74,104,85,108
2014-07-18 11:48-11:51,65,114,90,109,77,111
